osmid,y,x,street_count,highway,ref,railway,geometry
65311390,37.7110169,-122.4684485,3,,,,POINT (-122.4684485 37.7110169)
65311401,37.7116629,-122.4661907,3,,,,POINT (-122.4661907 37.7116629)
65312089,37.7106737,-122.4661975,4,stop,,,POINT (-122.4661975 37.7106737)
65312094,37.7096893,-122.4679144,1,turning_circle,,,POINT (-122.4679144 37.7096893)
65312142,37.7267844,-122.466097,4,,,,POINT (-122.466097 37.7267844)
65312605,37.7116554,-122.4732815,1,,,,POINT (-122.4732815 37.7116554)
65313263,37.7379734,-122.4690326,5,,,,POINT (-122.4690326 37.7379734)
65314286,37.7379584,-122.4675409,3,,,,POINT (-122.4675409 37.7379584)
65314293,37.7374027,-122.4657433,4,,,,POINT (-122.4657433 37.7374027)
65314788,37.734793,-122.469702,4,,,,POINT (-122.469702 37.734793)
65314792,37.7349081,-122.4671534,4,,,,POINT (-122.4671534 37.7349081)
65315046,37.7331622,-122.4704517,4,,,,POINT (-122.4704517 37.7331622)
65315055,37.7331319,-122.4695731,4,,,,POINT (-122.4695731 37.7331319)
65315071,37.7330728,-122.4678609,4,,,,POINT (-122.4678609 37.7330728)
65315076,37.7330433,-122.4670085,4,,,,POINT (-122.4670085 37.7330433)
65315986,37.7195545,-122.474722,3,,,,POINT (-122.474722 37.7195545)
65316006,37.721091,-122.4751125,4,traffic_signals,,,POINT (-122.4751125 37.721091)
65316014,37.7249145,-122.4749099,3,,,,POINT (-122.4749099 37.7249145)
65316021,37.7269885,-122.4750515,4,,,,POINT (-122.4750515 37.7269885)
65316105,37.7430548,-122.475723,4,traffic_signals,,,POINT (-122.475723 37.7430548)
65316115,37.741188,-122.4756285,4,traffic_signals,,,POINT (-122.4756285 37.741188)
65316123,37.739324,-122.4754991,4,traffic_signals,,,POINT (-122.4754991 37.739324)
65316139,37.7347305,-122.4752293,4,,,,POINT (-122.4752293 37.7347305)
65316146,37.7324922,-122.4750357,4,traffic_signals,,,POINT (-122.4750357 37.7324922)
65316155,37.7310828,-122.4749466,4,traffic_signals,,,POINT (-122.4749466 37.7310828)
65316172,37.728906,-122.4749323,3,,,,POINT (-122.4749323 37.728906)
65316301,37.7256971,-122.4751053,3,,,,POINT (-122.4751053 37.7256971)
65316314,37.719828,-122.4752128,3,,,,POINT (-122.4752128 37.719828)
