osmid,y,x,street_count,highway,ref,railway,geometry
6319307883,37.8042567,-122.4021755,4,,,,POINT (-122.4021755 37.8042567)
6319310898,37.8009133,-122.399146,4,,,,POINT (-122.399146 37.8009133)
6319310900,37.7992386,-122.3976846,4,,,,POINT (-122.3976846 37.7992386)
6319310910,37.7943801,-122.3932488,4,,,,POINT (-122.3932488 37.7943801)
6319310920,37.7967046,-122.3954399,4,,,,POINT (-122.3954399 37.7967046)
6319310992,37.8066517,-122.4058327,4,,,,POINT (-122.4058327 37.8066517)
6319310994,37.8072698,-122.4070746,3,crossing,,,POINT (-122.4070746 37.8072698)
6319310995,37.8074217,-122.407392,4,,,,POINT (-122.407392 37.8074217)
6320119964,37.752805,-122.387668,4,,,,POINT (-122.387668 37.752805)
6320119974,37.7503062,-122.3877128,4,,,,POINT (-122.3877128 37.7503062)
6320119975,37.7503388,-122.3874839,4,,,,POINT (-122.3874839 37.7503388)
6320120482,37.7500919,-122.3885212,4,,,,POINT (-122.3885212 37.7500919)
6323949673,37.7694635,-122.4291599,4,,,,POINT (-122.4291599 37.7694635)
6325970951,37.7303049,-122.4701279,4,traffic_signals,,,POINT (-122.4701279 37.7303049)
6325971639,37.7169586,-122.4724794,4,,,,POINT (-122.4724794 37.7169586)
6325971640,37.7169688,-122.4724465,4,,,,POINT (-122.4724465 37.7169688)
6325971647,37.71326,-122.4533924,3,crossing,,,POINT (-122.4533924 37.71326)
6329528586,37.7788081,-122.3970253,3,,,,POINT (-122.3970253 37.7788081)
6329528587,37.7791861,-122.3974857,3,,,,POINT (-122.3974857 37.7791861)
6329528588,37.7783876,-122.3964873,4,traffic_signals,,,POINT (-122.3964873 37.7783876)
6329528592,37.7771538,-122.3949605,4,traffic_signals,,,POINT (-122.3949605 37.7771538)
6329528595,37.7764624,-122.3940667,4,,,,POINT (-122.3940667 37.7764624)
6329528602,37.7796177,-122.3980242,4,traffic_signals,,,POINT (-122.3980242 37.7796177)
6330274394,37.774201,-122.4090894,3,,,,POINT (-122.4090894 37.774201)
6331838067,37.7333576,-122.3915059,3,,,,POINT (-122.3915059 37.7333576)
6331838245,37.7448916,-122.3870917,3,,,,POINT (-122.3870917 37.7448916)
6331838259,37.7452819,-122.3891782,4,,,,POINT (-122.3891782 37.7452819)
6331838265,37.7448273,-122.3896309,3,,,,POINT (-122.3896309 37.7448273)
6331838323,37.745762,-122.3887935,3,,,,POINT (-122.3887935 37.745762)
6331838327,37.7453169,-122.3892416,4,,,,POINT (-122.3892416 37.7453169)
6333609167,37.7505738,-122.3827302,3,,,,POINT (-122.3827302 37.7505738)
6333609169,37.7505622,-122.3827268,1,,,,POINT (-122.3827268 37.7505622)
6336760036,37.7698439,-122.4258852,3,,,,POINT (-122.4258852 37.7698439)
6336978422,37.7677366,-122.4289155,4,traffic_signals,,,POINT (-122.4289155 37.7677366)
6336978423,37.7676432,-122.4289057,4,traffic_signals,,,POINT (-122.4289057 37.7676432)
6336978424,37.7674698,-122.4288858,4,traffic_signals,,,POINT (-122.4288858 37.7674698)
6336978425,37.7645105,-122.4286114,4,traffic_signals,,,POINT (-122.4286114 37.7645105)
6336978426,37.7661423,-122.4287728,4,,,,POINT (-122.4287728 37.7661423)
6336978435,37.7661348,-122.4289006,4,,,,POINT (-122.4289006 37.7661348)
6336978436,37.767352,-122.4290342,3,traffic_signals,,,POINT (-122.4290342 37.767352)
6336978437,37.767516,-122.4290508,3,traffic_signals,,,POINT (-122.4290508 37.767516)
6336978438,37.7677301,-122.4290699,4,traffic_signals,,,POINT (-122.4290699 37.7677301)
6336978504,37.768677,-122.4289998,4,,,,POINT (-122.4289998 37.768677)
6346191382,37.7558415,-122.4254793,3,,,,POINT (-122.4254793 37.7558415)
6346191383,37.7558318,-122.4256275,3,,,,POINT (-122.4256275 37.7558318)
6347985514,37.7423634,-122.4265581,3,,,,POINT (-122.4265581 37.7423634)
6347985786,37.752455,-122.4276036,4,,,,POINT (-122.4276036 37.752455)
6347985788,37.7527988,-122.4275568,3,,,,POINT (-122.4275568 37.7527988)
6348551938,37.7367381,-122.4255954,1,,,,POINT (-122.4255954 37.7367381)
6348636067,37.7250607,-122.4430052,3,,,,POINT (-122.4430052 37.7250607)
6348636575,37.7237317,-122.4441209,3,,,,POINT (-122.4441209 37.7237317)
6348636580,37.7226768,-122.4449076,4,,,,POINT (-122.4449076 37.7226768)
6348636581,37.7226124,-122.4450549,3,,,,POINT (-122.4450549 37.7226124)
6348636700,37.7265648,-122.4417482,3,,,,POINT (-122.4417482 37.7265648)
6352714176,37.7613331,-122.4854659,3,crossing,,,POINT (-122.4854659 37.7613331)
6352716099,37.7612275,-122.487823,3,crossing,,,POINT (-122.487823 37.7612275)
6353182651,37.7611865,-122.4877256,4,,,,POINT (-122.4877256 37.7611865)
6353186530,37.7614515,-122.4827849,3,,,,POINT (-122.4827849 37.7614515)
6353186537,37.761391,-122.4841569,3,,,,POINT (-122.4841569 37.761391)
6353186554,37.7613842,-122.48559,4,,,,POINT (-122.48559 37.7613842)
6353186822,37.7615086,-122.480225,4,,,,POINT (-122.480225 37.7615086)
6353341472,37.7610309,-122.4923094,3,,,,POINT (-122.4923094 37.7610309)
6353342913,37.7611671,-122.4892248,3,,,,POINT (-122.4892248 37.7611671)
6353342936,37.7609631,-122.4938437,3,,,,POINT (-122.4938437 37.7609631)
6353362209,37.7603939,-122.506734,3,,,,POINT (-122.506734 37.7603939)
6353362216,37.7604628,-122.5051737,3,,,,POINT (-122.5051737 37.7604628)
6353362221,37.7605373,-122.5034861,3,,,,POINT (-122.5034861 37.7605373)
6353362228,37.7606074,-122.5018998,3,,,,POINT (-122.5018998 37.7606074)
6353362229,37.7607933,-122.4962965,4,,,,POINT (-122.4962965 37.7607933)
6353362234,37.7609664,-122.4952366,4,,,,POINT (-122.4952366 37.7609664)
6353362520,37.7608151,-122.4958398,4,,,,POINT (-122.4958398 37.7608151)
6353362523,37.7608144,-122.4972121,3,,,,POINT (-122.4972121 37.7608144)
6353362524,37.760944,-122.4956941,4,,,,POINT (-122.4956941 37.760944)
6353362527,37.7609243,-122.4947226,3,,,,POINT (-122.4947226 37.7609243)
6353362625,37.7607485,-122.498705,3,,,,POINT (-122.498705 37.7607485)
6353454926,37.7375301,-122.4695573,3,,,,POINT (-122.4695573 37.7375301)
6353455485,37.7384289,-122.4685979,3,,,,POINT (-122.4685979 37.7384289)
6355820457,37.7432507,-122.4712711,4,crossing,,,POINT (-122.4712711 37.7432507)
6356743334,37.7428544,-122.4789227,4,traffic_signals,,,POINT (-122.4789227 37.7428544)
6356743341,37.7429513,-122.4780714,3,,,,POINT (-122.4780714 37.7429513)
6356743345,37.7428857,-122.4795588,3,,,,POINT (-122.4795588 37.7428857)
6356743346,37.7428351,-122.480711,3,,,,POINT (-122.480711 37.7428351)
6356743349,37.742927,-122.4796082,3,,,,POINT (-122.4796082 37.742927)
6356743350,37.7428942,-122.4793618,3,,,,POINT (-122.4793618 37.7428942)
6356789739,37.7421425,-122.4949894,3,,,,POINT (-122.4949894 37.7421425)
6356789744,37.7421642,-122.4945326,4,,,,POINT (-122.4945326 37.7421642)
6356789747,37.7421678,-122.4958582,3,,,,POINT (-122.4958582 37.7421678)
6356789748,37.7422958,-122.4943876,4,,,,POINT (-122.4943876 37.7422958)
6356789749,37.742316,-122.4939285,3,,,,POINT (-122.4939285 37.742316)
6356789751,37.7422753,-122.4933851,4,,,,POINT (-122.4933851 37.7422753)
6357368670,37.7160247,-122.4714866,3,,,,POINT (-122.4714866 37.7160247)
