u,v
65329578,65329581
65329578,65295172
65329578,6356789747
65329578,65341568
65329581,65341569
65329581,65296104
65329581,65329583
65329581,65329578
65329583,65287875
65329583,65329581
65329583,65340964
65329583,65296105
65329585,65287875
65329585,65341574
65329585,65296110
65329597,11337742046
65329597,11337742045
65329597,65341610
65329597,65319846
65329600,65341614
65329600,65319849
65329600,65329602
65329600,11337742046
65329602,65319853
65329602,65329600
65329602,65287746
65329602,65340939
65329866,65329876
65329866,8292175322
65329866,315425700
65329876,65329866
65329876,65340889
65329876,65372618
65329911,65342686
65329911,65329919
65329911,4035920539
65329911,65297147
65329919,1196701858
65329919,65329911
65329919,65340956
65329919,65297149
65329934,4062847066
65329934,258922103
65329934,65297108
65329934,4062846066
65329950,65329952
65329950,3645308400
65329950,65314792
65329952,65329950
65329952,65309852
65329952,65314293
65329990,65321779
65329990,65316014
65329996,65329990
65329996,65316006
65330008,11268318789
65330008,11268318790
65330008,11268318793
65330008,11268318786
65330010,65297026
65330010,65342744
65330010,65330013
65330010,11268318790
65330013,65340970
65330013,65297028
65330013,65287885
65330013,65330010
65330018,65297035
65330018,65287885
65330298,65332924
65330298,65332922
65330298,65297442
65330300,65305725
65330300,65349387
65330300,418584220
65330300,65316342
65330304,65316342
65330304,65353229
65330304,65316336
65330783,1202332578
65330783,1201371532
65330789,1202332599
65330789,65330783
65330797,65330886
65330797,65330789
65330829,1196851008
65330829,65295543
65330829,65295538
65330886,65330797
65330886,65336367
65332285,1607089611
65332285,1607089652
65332285,65332289
65332289,65296961
65332289,65348256
65332289,65301258
65332289,65332285
65332297,8274993658
65332297,65301266
65332297,1777583588
65332458,1707875306
65332458,65332459
65332459,1707875215
65332459,1714229537
65332476,65291587
65332476,65314788
65332922,65330298
65332924,65330298
65332924,1607089648
65332940,65332942
65332940,258972096
65332942,65306402
65332942,65332940
65332942,65302639
65332942,65305937
65332964,65306402
65332964,65306421
65332964,65306426
65332964,65350793
65332985,65306426
65332985,65358686
65332985,65302639
65333095,4062775036
65333095,65304983
65333095,65362323
65333152,65299691
65333152,65307205
65333152,65333155
65333152,65295160
65333155,65299693
65333155,65307208
65333155,65333157
65333155,65333152
65333157,4034231279
65333157,65299698
65333157,65287834
65333157,65333155
65333235,65309588
65335446,65305729
65335446,65349387
65335446,65335448
65335446,65299756
65335448,65335451
65335448,65335446
65335448,65299759
65335448,65349389
65335451,65335454
65335451,65335448
65335451,65299761
65335451,65344130
65335454,601336584
65335454,65335451
65335454,65299763
65335454,6357368671
65336367,65330886
65336367,65337329
65336367,65307567
65337322,65337327
65337322,315424563
65337327,1201371532
65337327,1202332578
65337329,65342995
65337329,65336367
65337329,1201371532
65337333,65337335
65337333,65291658
65337333,65292224
65337335,65337333
65337335,65295538
65337335,65291658
65337883,65337886
65337883,65349256
65337886,65337883
65340446,65340451
65340451,4044866184
65340451,65340446
65340451,65364837
65340451,65280099
65340883,65340889
65340883,65372618
65340889,65340883
65340889,65342051
65340889,65329876
65340911,1707842763
65340911,65340921
65340911,65287734
65340921,65353303
65340921,65340931
65340921,65340911
65340931,65340935
65340931,65287736
65340931,65340921
65340931,65353309
65340935,65340931
65340935,65353310
65340935,65319853
65340935,65287741
65340939,258757447
